Area,Year,Savanna fires,Forest fires,Crop Residues,Rice Cultivation,Drained organic soils (CO2),Pesticides Manufacturing,Food Transport,Forestland,Net Forest conversion,Food Household Consumption,Food Retail,On-farm Electricity Use,Food Packaging,Agrifood Systems Waste Disposal,Food Processing,Fertilizers Manufacturing,IPPU,Manure applied to Soils,Manure left on Pasture,Manure Management,Fires in organic soils,Fires in humid tropical forests,On-farm energy use,Rural population,Urban population,Total Population - Male,Total Population - Female,total_emission,Average Temperature °C
Albania,1990,5.5561,7.0253,59.2391,23.52,110.5705,2,46.9645,72.8581,0,16.0124,8.3013,45.2103,2.85,444.4512,131.56912352369383,356.4910168671663,767.1456,196.644,383.3071,474.6951,0,0,320.8805,2086075,1195379,1676902,1618163,3475.2912403908595,0.7357499999999999
Albania,1991,5.5561,7.0253,31.4625,6.272,110.5705,2,47.9519,72.8581,0,11.4657,2.7448,18.4951,3.2048,443.8552,131.56912352369383,2903.861148947865,628.6596,194.1851,394.0694,469.1415,0,0,195.1879,2073348,1202083,1675168,1626914,5680.135772471558,-0.4615
Albania,1992,5.5561,7.0253,29.9373,1.8816,110.5705,2,40.5272,72.8581,0,7.9077,3.4281,4.2558,3.67,445.0997,131.56912352369383,2903.861148947865,247.2039,187.3747,400.0541,453.218,0,0,163.1332,2033508,1207079,1670550,1633189,5221.131572471559,0.31825
Albania,1993,5.5561,7.0253,44.055,1.0976,110.5705,2,57.6592,72.8581,0,16.5217,7.0102,8.6999,4.4197,446.7996,131.56912352369383,2903.861148947865,263.8111,198.8094,426.4171,481.3836,0,0,126.8489,1983942,1205641,1663515,1637195,5316.973272471559,0.2705
Albania,1994,5.5561,7.0253,42.4253,0,110.5705,3,72.4242,72.8581,0,17.5634,5.7802,3.0976,5.1834,449.4347,131.56912352369383,2903.861148947865,212.3739,260.3013,546.0098,620.2991,0,0,94.9545,1936056,1204539,1654796,1639203,5564.287672471559,1.2026666666666668
Albania,1995,5.5561,7.0253,41.8325,0,110.5705,3,72.6921,72.8581,0,11.5553,4.2759,2.1529,7.335,447.8827,0.6125,2903.861148947865,278.2638,267.2151,546.7428,639.6531,0,0,159.2865,1897862,1208874,1644902,1639462,5582.371348947865,-0.038833333
Albania,1996,1.3469,13.3278,33.198,283.1808479179501,110.5705,1,71.2259,72.8581,0,9.3235,4.6712,1.7525,7.9181,465.3796,3.2397,377.4078995531106,266.1984,258.4452,463.034,634.9354,0,0,152.9432,1871645,1220583,1633759,1637572,3231.9567474710607,-0.145916667
Albania,1997,2.1229,33.0916,39.3092,265.0979164345904,110.5705,3,56.8044,72.8581,0,11.2326,4.587,0.9439,8.9597,470.1376,3.0681,377.4078995531106,199.1235,242.0952,433.5541,586.4313,0,0,114.7685,1854740,1238301,1620795,1632924,3035.1640159877006,0.087416667
Albania,1998,2.0621,16.2832,39.6395,265.0979164345904,110.5705,3,85.6565,72.8581,0,15.1067,6.3115,1.1513,10.6203,480.3688,11.2535,377.4078995531106,193.1484,230.3143,411.2509,558.9183,0,0,142.2189,1843604,1260155,1606618,1625558,3033.238615987701,0.5823333333333334
Albania,1999,4.3004,13.1604,32.5077,265.0979164345904,110.5335,3,149.6106,72.8581,0,49.6806,8.2905,5.6954,18.4534,490.0383,22.653,377.4078995531106,223.296,235.6159,427.8384,570.9723,0,0,255.629,1832914,1282662,1592223,1616037,3336.6393159877007,0.9410833333333332
Albania,2000,3.6511,77.5332,36.5125,265.0979164345904,110.5335,4,177.8994,72.8581,0,64.9993,11.1932,9.52,15.9217,500.1149,35.7348,377.4078995531106,245.5081,242.0615,428.1167,589.8215,0,0,248.0653,1818833,1303137,1577591,1604429,3516.550615987701,1.1191666666666666
Albania,2001,1.9526,0,32.3623,265.0979164345904,110.4958,4,178.7129,-1233.2859,0,73.238,15.2996,10.2805,16.2661,522.9138,49.5545,377.4078995531106,160.1936,237.7039,413.9378,581.1037,0,0,256.966,1797423,1324985,1562949,1590663,2074.201015987701,1.0385
Albania,2002,0,0,33.0862,265.0979164345904,110.4958,4,197.9949,-1233.2859,0,93.955,20.1063,13.6421,16.708,522.1916,62.7811,377.4078995531106,178.0886,235.2513,394.7005,573.1597,0,0,283.2915,1762229,1356800,1548482,1575069,2148.6725159877005,0.8756666666666666
Albania,2003,5.4779,1.0403,30.8372,265.0979164345904,110.4506,1,226.6981,-1233.2859,0,73.6972,25.5938,4.4671,12.2584,522.9161,74.7292,377.4078995531106,514.5821,238.4207,406.497,583.0632,0,0,78.2231,1724344,1386661,1534566,1558425,2319.171915987701,0.9353333333333332
Albania,2004,0.2327,0,31.1048,265.0979164345904,110.4274,4,217.0101,-1233.2859,0,80.9737,33.4117,1.4195,14.4652,545.0646,90.0537,377.4078995531106,523.7442,234.0604,383.9029,572.0793,0,0,297.6188,1683584,1414163,1521272,1541351,2548.7889159877013,0.5704166666666667
Albania,2005,2.6359,0,31.8313,265.0979164345904,110.4274,0,272.6528,-1233.2859,0,32.1791,45.9153,0.4504,13.9176,555.9565,105.8505,377.4078995531106,496.1337,233.1291,379.7148,568.5319,0,0,273.2676,1640246,1438933,1508427,1524207,2531.8138159877008,0.07325
Albania,2006,0.603,0,30.7903,265.0979164345904,110.4274,0,222.3144,-1233.2859,0,107.6431,45.4328,0.6004,16.9902,554.8915,121.435,377.4078995531106,501.0019,227.8128,379.62,555.8587,0,0,460.8339,1593892,1460439,1496029,1507358,2745.475315987701,0.3608333333333333
Albania,2007,48.5872,6.5028,30.1526,265.0979164345904,110.4274,42.06774574412039,258.5925,-1233.2859,0,103.2809,51.291,0.726,20.5753,593.4196,138.7823,377.4078995531106,685.4249,219.6977,363.1646,524.7509,0,0,259.6174,1545166,1478741,1484648,1491436,2866.280761731821,1.1725833333333333
Albania,2008,4.5639,0,37.119,259.19722621124515,110.4274,0,279.7287,-1233.2859,0,122.4814,62.4115,3.0245,22.9737,604.0795,129.0643,377.4078995531106,727.2608,211.9634,344.7775,496.0448,0,0,239.5122,1496108,1495543,1474662,1477027,2798.751825764356,1.1739166666666667
Albania,2009,1.7011,1.3002,37.8726,248.06149701135485,110.4274,4,273.8879,-1233.2859,0,119.7744,62.0187,0.1336,24.3511,596.5965,99.2571,377.4078995531106,814.7647,203.9135,327.9446,477.5953,0,0,236.7072,1449427,1513208,1466053,1464488,2784.429396564465,0.99275
Albania,2010,2.4143,0,39.5498,248.06149701135485,109.774,7,277.187,-1233.2859,0,137.5797,71.1151,0.2406,27.3674,640.5573,122.7233,377.4078995531106,1103.9133,205.6973,330.4915,482.3426,0,0,235.4481,1406665,1533860,1459102,1454297,3185.5847965644653,1.0785
Albania,2011,13.9484,2.471,40.0999,248.06149701135485,109.8112,6,275.3115,-961.0391,0,123.709,75.1379,0.9174,27.6027,617.6381,132.4256,377.4078995531106,1258.9436,207.0069,323.6477,482.0319,0,0,290.2752,1368297,1558362,1453895,1446759,3651.4082965644657,1.0705
Albania,2012,20.8187,4.0312,39.986,248.06149701135485,109.8112,4,265.4062,-961.0391,0,125.0822,76.6453,1.0605,29.7415,637.9198,134.3208,377.4078995531106,1327.5173,205.4466,335.0031,487.3965,0,0,244.5953,1333585,1586454,1450370,1441822,3713.212496564464,1.3545833333333333
Albania,2013,0.29,0,40.0653,248.06149701135485,109.1577,5,286.2621,-961.0391,0,130.6304,85.9146,1.2721,31.5296,691.7072,141.9204,377.4078995531106,1416.2855,203.7271,343.4951,483.1922,0,0,266.1464,1302236,1616742,1448110,1438905,3901.0259965644655,1.3974166666666663
Albania,2014,0.1164,0,39.8578,248.06149701135485,109.1577,4,308.5878,-961.0391,0,137.5172,93.1405,1.4056,45.3269,690.7405,137.448,377.4078995531106,1355.3714,207.7,350.9466,491.2409,0,0,299.118,1272790,1647985,1446732,1437370,3936.1055965644655,1.29025
Albania,2015,2.2521,0.3902,39.5799,248.06149701135485,109.0486,5,297.5679,-961.0391,0,137.9932,123.8622,0.6687,39.487,729.5557,100.8493,377.4078995531106,1254.2124,204.5757,355.9964,489.4632,0,0,281.4685,1244341,1679011,1445782,1436698,3836.401296564465,1.5189166666666667
Albania,2016,0.9627,0.6502,39.6772,248.06149701135485,108.8386,5,301.8881,-352.0139,0,143.5366,131.0422,0.6232,19.2177,764.3784,102.6529,377.4078995531106,1192.9862,199.8006,359.21,484.7401,0,0,288.3253,1216737,1709611,1444664,1436399,4416.985496564466,1.3541666666666667
