ST_FIPS,CONTROL,PREDDEG,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,LATITUDE,LONGITUDE
California,Private For-profit,Certificate,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.71488,-117.848291
California,Private For-profit,Certificate,0.0047,0.0,0.0047,0.9907,0.0,0.0,0.0,0.0,0.0,34.080756,-118.082793
California,Private For-profit,Certificate,0.0,0.0,0.0049,0.9573,0.0361,0.0,0.0,0.0016,0.0,33.759524,-117.991643
Texas,Private For-profit,Certificate,0.0087,0.0087,0.0261,0.9565,0.0,0.0,0.0,0.0,0.0,29.706713,-95.644945
California,Private For-profit,Certificate,0.0147,0.0183,0.0293,0.9377,0.0,0.0,0.0,0.0,0.0,38.494851,-121.452325
California,Private For-profit,Certificate,0.0102,0.0,0.0255,0.9286,0.0051,0.0,0.0,0.0204,0.0102,33.728821,-117.921471
Texas,Private For-profit,Certificate,0.0,0.0,0.0909,0.9091,0.0,0.0,0.0,0.0,0.0,32.859493,-96.9927
New York,Private Nonprofit,Certificate,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,40.601511,-73.997176
California,Private For-profit,Certificate,0.0,0.0,0.0316,0.8789,0.0,0.0,0.0,0.0842,0.0053,34.062971,-118.046711
Massachusetts,Private For-profit,Certificate,0.0229,0.0686,0.0286,0.8629,0.0,0.0,0.0114,0.0,0.0057,42.305343,-71.057468
Arizona,Private For-profit,Certificate,0.0447,0.0081,0.0854,0.8537,0.0041,0.0,0.0,0.0,0.0041,32.87795,-111.689601
Illinois,Private For-profit,Certificate,0.1489,0.0213,0.0,0.8298,0.0,0.0,0.0,0.0,0.0,41.997901,-87.691596
Texas,Private For-profit,Certificate,0.0303,0.1515,0.0303,0.7879,0.0,0.0,0.0,0.0,0.0,32.931698,-96.685333
California,Private For-profit,Graduate degree,0.0545,0.0,0.0182,0.7818,0.0,0.0,0.0,0.1455,0.0,34.080181,-118.148684
California,Private For-profit,Certificate,0.0616,0.0082,0.037,0.7741,0.0082,0.0021,0.0021,0.0205,0.0862,33.759905,-117.952637
Colorado,Private For-profit,Certificate,0.1471,0.0294,0.0588,0.7647,0.0,0.0,0.0,0.0,0.0,39.697447,-105.010843
New Jersey,Private For-profit,Certificate,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,40.79361,-74.19716
Louisiana,Private For-profit,Certificate,0.0,0.1591,0.0909,0.75,0.0,0.0,0.0,0.0,0.0,29.902428,-90.029931
New York,Private Nonprofit,Graduate degree,0.1385,0.0462,0.0154,0.7385,0.0,0.0,0.0,0.0615,0.0,40.73945,-73.638911
Utah,Private For-profit,Certificate,0.1667,0.0,0.0667,0.7333,0.0,0.0,0.0,0.0,0.0333,40.652683,-111.940452
California,Private For-profit,Certificate,0.0,0.0,0.2727,0.7273,0.0,0.0,0.0,0.0,0.0,33.789713,-117.908306
Colorado,Private For-profit,Certificate,0.0645,0.0,0.2258,0.7097,0.0,0.0,0.0,0.0,0.0,39.823932,-105.005055
New York,Private For-profit,Certificate,0.0294,0.0,0.2941,0.6765,0.0,0.0,0.0,0.0,0.0,40.75904,-73.828461
Florida,Private For-profit,Certificate,0.1121,0.0374,0.0935,0.6729,0.0,0.0,0.0,0.0,0.0841,28.77858,-81.251511
Texas,Private For-profit,Certificate,0.0857,0.0571,0.1857,0.6714,0.0,0.0,0.0,0.0,0.0,32.826045,-97.265311
California,Private Nonprofit,Bachelor's degree,0.0,0.0,0.0119,0.6548,0.0,0.0,0.0,0.3214,0.0119,33.867663,-117.958208
California,Private Nonprofit,Bachelor's degree,0.0,0.0,0.0,0.6458,0.0,0.0,0.0,0.3542,0.0,33.88856,-118.047065
California,Private For-profit,Certificate,0.0,0.0929,0.1947,0.615,0.0088,0.0,0.0177,0.0664,0.0044,37.774887,-122.220803
California,Private Nonprofit,Bachelor's degree,0.0,0.0,0.2336,0.6131,0.0,0.0,0.0,0.1533,0.0,34.064918,-118.289484
California,Private For-profit,Certificate,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,33.95487,-118.396511
California,Private Nonprofit,Bachelor's degree,0.0,0.0,0.0,0.5556,0.0,0.0,0.0,0.4444,0.0,34.041239,-118.308661
California,Private For-profit,Bachelor's degree,0.0512,0.1195,0.1877,0.5324,0.0171,0.0273,0.0546,0.0068,0.0034,33.796849,-118.171366
California,Private For-profit,Certificate,0.113,0.1391,0.1565,0.5304,0.0,0.0,0.0261,0.0,0.0348,33.873098,-118.372137
New York,Private Nonprofit,Certificate,0.0769,0.0,0.4038,0.5192,0.0,0.0,0.0,0.0,0.0,40.729169,-73.858364
California,Private For-profit,Certificate,0.0091,0.0091,0.4545,0.5091,0.0,0.0,0.0,0.0,0.0182,33.759423,-117.895913
California,Private Nonprofit,Certificate,0.0406,0.2284,0.2234,0.5076,0.0,0.0,0.0,0.0,0.0,33.809096,-118.35009
California,Private For-profit,Certificate,0.0296,0.1084,0.3005,0.4828,0.0049,0.0148,0.0,0.0542,0.0049,34.062096,-118.295073
New York,Private For-profit,Associate degree,0.0958,0.1272,0.2575,0.4694,0.0,0.0,0.0047,0.0424,0.0031,40.760109,-73.829457
Hawaii,Private For-profit,Certificate,0.0469,0.0938,0.0156,0.4688,0.0,0.1875,0.1875,0.0,0.0,21.31146,-157.861609
California,Private For-profit,Certificate,0.153,0.0861,0.1298,0.4679,0.0051,0.0283,0.0398,0.0,0.09,34.002717,-117.339245
California,Private Nonprofit,Bachelor's degree,0.0,0.0,0.0,0.4677,0.0,0.0,0.0,0.5323,0.0,37.742256,-122.199689
Guam,Public,Bachelor's degree,0.0237,0.0062,0.0062,0.4646,0.0009,0.4593,0.0,0.008,0.0311,13.433047,144.803978
Hawaii,Public,Associate degree,0.0699,0.0167,0.1126,0.4342,0.0011,0.0639,0.2792,0.0082,0.0141,21.321785,-157.87
California,Public,Associate degree,0.1636,0.0321,0.2506,0.4288,0.0021,0.0063,0.0574,0.0462,0.0129,37.52773,-121.916339
Guam,Public,Associate degree,0.0155,0.0089,0.0042,0.4275,0.0018,0.517,0.0012,0.0042,0.0197,13.440649,144.808944
Hawaii,Private For-profit,Certificate,0.1818,0.1667,0.0455,0.4242,0.0,0.1818,0.0,0.0,0.0,21.299035,-157.84134
California,Public,Associate degree,0.1613,0.035,0.2937,0.4179,0.0015,0.0036,0.0468,0.0305,0.0096,37.391935,-121.980783
Hawaii,Public,Associate degree,0.0881,0.0109,0.0984,0.4043,0.0012,0.0336,0.2534,0.1075,0.0025,21.27148,-157.800213
California,Private Nonprofit,Bachelor's degree,0.2711,0.0148,0.1382,0.404,0.0,0.0,0.0844,0.0876,0.0,34.137349,-118.125878
Northern Mariana Islands,Public,Associate degree,0.0102,0.0034,0.0043,0.4,0.0,0.4349,0.0579,0.0638,0.0255,15.152247,145.721733
California,Private For-profit,Bachelor's degree,0.2072,0.0442,0.2414,0.399,0.002,0.0342,0.0644,0.0,0.0076,33.81104,-117.911811
California,Private For-profit,Certificate,0.0114,0.0568,0.5341,0.3977,0.0,0.0,0.0,0.0,0.0,34.093916,-118.129041
Hawaii,Public,Bachelor's degree,0.1669,0.0148,0.1159,0.3927,0.0013,0.0272,0.2489,0.0304,0.0018,21.298598,-157.818979
California,Private For-profit,Certificate,0.1447,0.0629,0.327,0.3899,0.0063,0.0063,0.0063,0.0566,0.0,34.177483,-118.465561
Hawaii,Private For-profit,Certificate,0.048,0.0148,0.048,0.3875,0.0037,0.2214,0.2731,0.0,0.0037,21.295112,-157.847678
California,Public,Associate degree,0.0606,0.0221,0.4324,0.3839,0.0052,0.0045,0.03,0.016,0.0453,37.30167,-121.76561
Maryland,Private For-profit,Certificate,0.271,0.0467,0.1402,0.3832,0.0,0.0,0.0,0.1589,0.0,39.056035,-77.08083
California,Public,Certificate,0.2456,0.1032,0.2491,0.3772,0.0071,0.0178,0.0,0.0,0.0,38.516233,-121.440796
Hawaii,Public,Bachelor's degree,0.0933,0.0201,0.1207,0.3766,0.0026,0.0485,0.3318,0.0058,0.0007,21.35531,-158.056403
California,Private Nonprofit,Bachelor's degree,0.2243,0.0322,0.2095,0.376,0.0038,0.0046,0.0568,0.0638,0.0289,37.981424,-121.312301
New York,Private For-profit,Certificate,0.0516,0.1834,0.2923,0.3725,0.0,0.0,0.063,0.0,0.0372,40.762695,-73.831488
Hawaii,Private Nonprofit,Associate degree,0.0382,0.1221,0.0916,0.3664,0.0076,0.1985,0.1756,0.0,0.0,21.309273,-157.860023
California,Private Nonprofit,Certificate,0.1818,0.0909,0.3636,0.3636,0.0,0.0,0.0,0.0,0.0,34.200825,-118.553851
California,Public,Bachelor's degree,0.1507,0.0329,0.2852,0.3614,0.0008,0.0048,0.048,0.0786,0.0377,37.336569,-121.880621
California,Public,Associate degree,0.1811,0.0266,0.269,0.3597,0.0012,0.0038,0.0478,0.1055,0.0054,37.320788,-122.045558
California,Public,Bachelor's degree,0.1341,0.0206,0.2604,0.3582,0.0008,0.003,0.0415,0.1699,0.0115,33.648434,-117.841248
New Jersey,Private Nonprofit,Associate degree,0.1429,0.0,0.0238,0.3571,0.0,0.0,0.0,0.4762,0.0,40.905857,-74.490693
